hys,direction,style,x,y
beta-hys,->,scatter,0.7,0.9999999798
beta-hys,->,scatter,0.45,0.9999988176000001
beta-hys,->,scatter,0.65,0.9999840406999999
beta-hys,->,scatter,0.85,0.9999593258
beta-hys,->,scatter,0.05,0.0041989871
beta-hys,->,scatter,0.4,0.9999999158
beta-hys,->,scatter,0.1,0.0052827936
beta-hys,->,scatter,0.6,0.996654935
beta-hys,->,scatter,0.25,0.0663990089
beta-hys,->,scatter,0.7,0.9999366302
beta-hys,->,scatter,0.3,0.1500536691
beta-hys,->,scatter,0.75,0.9999999999
beta-hys,->,scatter,0.45,1.0
beta-hys,->,scatter,0.15,0.0082923997
beta-hys,->,scatter,0.1,0.0078760276
beta-hys,->,scatter,0.1,0.0104844326
beta-hys,->,scatter,0.45,0.9999999999
beta-hys,->,scatter,0.7,0.9999999058
beta-hys,->,scatter,0.75,0.9999999999
beta-hys,->,scatter,0.0,0.0
beta-hys,->,scatter,0.95,0.9999999437999999
beta-hys,->,scatter,0.7,0.9999570486
beta-hys,->,scatter,0.15,0.0158493354
beta-hys,->,scatter,0.4,0.9996061132999999
beta-hys,->,scatter,0.65,1.0
beta-hys,->,scatter,0.25,0.0820656764
beta-hys,->,scatter,0.05,0.009316250699999999
beta-hys,->,scatter,0.45,0.9999998495
beta-hys,->,scatter,0.0,0.0
beta-hys,->,scatter,0.95,1.0
beta-hys,->,scatter,0.15,0.022064224700000003
beta-hys,->,scatter,0.9,0.9999956179999999
beta-hys,->,scatter,0.5,0.9999999565000001
beta-hys,->,scatter,0.1,0.012471676999999999
beta-hys,->,scatter,0.15,0.0212024198
beta-hys,->,scatter,0.6,1.0
beta-hys,->,scatter,0.65,1.0
beta-hys,->,scatter,0.15,0.0154915655
beta-hys,->,scatter,0.4,0.9984584167
beta-hys,->,scatter,0.35,0.9999416651
beta-hys,->,scatter,0.05,0.0006575687
beta-hys,->,scatter,0.9,1.0
beta-hys,->,scatter,0.2,0.0571009917
beta-hys,->,scatter,0.15,0.0317974515
beta-hys,->,scatter,0.1,0.0043784362
beta-hys,->,scatter,0.1,0.020770866000000002
beta-hys,->,scatter,0.25,0.062827914
beta-hys,->,scatter,0.8,1.0
beta-hys,->,scatter,0.05,0.005080286099999999
beta-hys,->,scatter,0.4,0.9999999051999999
beta-hys,->,scatter,0.0,1.3810999999999999e-05
beta-hys,->,scatter,0.65,0.9999903251000001
beta-hys,->,scatter,0.85,0.9999980562999999
beta-hys,->,scatter,0.45,0.9976105039000001
beta-hys,->,scatter,0.85,1.0
beta-hys,->,scatter,0.7,0.9999999987999999
beta-hys,->,scatter,0.25,0.0650983708
beta-hys,->,scatter,0.55,0.9999999995000001
beta-hys,->,scatter,0.4,1.0
beta-hys,->,scatter,0.65,0.9999326606000001
beta-hys,->,scatter,0.95,0.9999999933
beta-hys,->,scatter,1.0,0.9994881172
beta-hys,->,scatter,0.2,0.0294939517
beta-hys,->,scatter,0.95,0.9999997853
beta-hys,->,scatter,0.3,0.151358427
beta-hys,->,scatter,0.5,0.9999996767
beta-hys,->,scatter,0.4,0.9999749756
beta-hys,->,scatter,0.2,0.0275130211
beta-hys,->,scatter,0.25,0.0543022691
beta-hys,->,scatter,0.0,7.82e-08
beta-hys,->,scatter,0.45,0.9999999962999999
beta-hys,->,scatter,0.95,0.9983541616
beta-hys,->,scatter,0.8,0.999998432
beta-hys,->,scatter,0.4,0.9997132031
beta-hys,->,scatter,0.55,0.9998491984000001
beta-hys,->,scatter,0.9,0.9999677831
beta-hys,->,scatter,0.05,0.0018219478
beta-hys,->,scatter,1.0,0.9992844004000001
beta-hys,->,scatter,0.5,0.9999999995000001
beta-hys,->,scatter,0.45,0.9999999993
beta-hys,->,scatter,0.8,0.9997470070000001
beta-hys,->,scatter,0.05,0.0015149138
beta-hys,->,scatter,0.75,0.9999999992
beta-hys,->,scatter,0.65,0.9998902852
beta-hys,->,scatter,0.85,1.0
beta-hys,->,scatter,0.4,0.9999989855
beta-hys,->,scatter,0.6,1.0
beta-hys,->,scatter,0.2,0.0417855557
beta-hys,->,scatter,0.25,0.0668983168
beta-hys,->,scatter,0.3,0.999999985
beta-hys,->,scatter,0.15,0.0255158506
beta-hys,->,scatter,0.8,0.9999965769
beta-hys,->,scatter,0.05,0.006236343199999999
beta-hys,->,scatter,0.15,0.022075227700000002
beta-hys,->,scatter,0.0,3.50273e-05
beta-hys,->,scatter,0.55,1.0
beta-hys,->,scatter,0.75,0.9999967113
beta-hys,->,scatter,0.45,0.9999989717000001
beta-hys,->,scatter,0.65,0.9988809931
beta-hys,->,scatter,0.55,0.9999999992
beta-hys,->,scatter,0.1,0.0073159895
beta-hys,->,scatter,0.85,0.9999976313
beta-hys,->,scatter,0.25,0.0495283537
beta-hys,->,scatter,0.95,0.9999554558
beta-hys,->,scatter,0.65,0.9999688331000001
beta-hys,->,scatter,0.7,0.9995200008
beta-hys,->,scatter,0.25,0.0997983967
beta-hys,->,scatter,0.9,1.0
beta-hys,->,scatter,0.5,0.999800612
beta-hys,->,scatter,0.85,0.9999731984
beta-hys,->,scatter,0.05,0.0061673662
beta-hys,->,scatter,0.4,0.9996161561
