hys,direction,style,x,y
alpha-hys,->,scatter,0.42000000000000004,0.9999999997
alpha-hys,->,scatter,0.99,0.9856341727
alpha-hys,->,scatter,0.020000000000000018,0.0642381965
alpha-hys,->,scatter,0.31000000000000005,0.9999991998000001
alpha-hys,->,scatter,0.47,0.9998968815000001
alpha-hys,->,scatter,0.43000000000000005,0.9999975912000001
alpha-hys,->,scatter,0.18999999999999995,0.1033199978
alpha-hys,->,scatter,0.36,0.9999999969
alpha-hys,->,scatter,0.050000000000000044,0.0545556862
alpha-hys,->,scatter,0.91,0.9884599854
alpha-hys,->,scatter,0.96,0.9924117781999999
alpha-hys,->,scatter,0.040000000000000036,0.0364395931
alpha-hys,->,scatter,0.18999999999999995,0.0957559176
alpha-hys,->,scatter,0.9,0.9980602251999999
alpha-hys,->,scatter,0.86,0.9933874845999999
alpha-hys,->,scatter,0.83,0.9967495551000001
alpha-hys,->,scatter,0.5700000000000001,0.9988902479
alpha-hys,->,scatter,0.43999999999999995,0.9999999994
alpha-hys,->,scatter,0.32999999999999996,1.0
alpha-hys,->,scatter,0.31999999999999995,1.0
alpha-hys,->,scatter,0.51,0.9999745223000001
alpha-hys,->,scatter,0.15000000000000002,0.0555019104
alpha-hys,->,scatter,0.9,0.9954184844
alpha-hys,->,scatter,0.6,0.9999953148999999
alpha-hys,->,scatter,0.35,1.0
alpha-hys,->,scatter,0.78,0.9998289226
alpha-hys,->,scatter,0.95,0.9894578236
alpha-hys,->,scatter,0.7,0.9973238563
alpha-hys,->,scatter,0.76,0.9987577906999999
alpha-hys,->,scatter,0.85,0.9998962251000001
alpha-hys,->,scatter,0.9,0.9848420647
alpha-hys,->,scatter,0.86,0.9979774494
alpha-hys,->,scatter,0.78,0.9999606656000001
alpha-hys,->,scatter,0.26,0.1306216579
alpha-hys,->,scatter,0.39,0.9999898635
alpha-hys,->,scatter,0.06000000000000005,0.022765678799999998
alpha-hys,->,scatter,0.92,0.9977841461
alpha-hys,->,scatter,0.73,0.9999997236
alpha-hys,->,scatter,0.6,0.9999980234
alpha-hys,->,scatter,0.47,0.9992169312000001
alpha-hys,->,scatter,0.99,0.9874998322
alpha-hys,->,scatter,0.79,0.9975370781
alpha-hys,->,scatter,0.14,0.08943372720000001
alpha-hys,->,scatter,0.87,0.9944849584000001
alpha-hys,->,scatter,0.92,0.9990271056000001
alpha-hys,->,scatter,0.81,0.9999422218
alpha-hys,->,scatter,0.53,0.9999685509999999
alpha-hys,->,scatter,0.6799999999999999,0.9999998743999999
alpha-hys,->,scatter,0.15000000000000002,0.052776041399999994
alpha-hys,->,scatter,0.65,0.9999870129999999
alpha-hys,->,scatter,0.31999999999999995,0.9999999996
alpha-hys,->,scatter,0.12,0.0281163017
alpha-hys,->,scatter,0.55,1.0
