alpha,beta,gamma,style,x,y
.5,.5,.42,scatter,0.6,0.625
.5,.5,.42,scatter,0.61,0.88
.5,.5,.42,scatter,0.63,0.86
.5,.5,.42,scatter,0.65,0.8555555555555555
.5,.5,.42,scatter,0.67,0.94
.5,.5,.42,scatter,0.69,0.86
.5,.5,.42,scatter,0.7,0.85
.5,.5,.42,scatter,0.71,0.92
.5,.5,.42,scatter,0.73,1.0
.5,.5,.42,scatter,0.75,0.9666666666666667
.5,.5,.42,scatter,0.77,0.9791666666666666
.5,.5,.42,scatter,0.79,1.0
.5,.5,.42,scatter,0.8,1.0
.5,.5,.42,scatter,0.81,0.96
.5,.5,.42,scatter,0.83,0.98
.5,.5,.42,scatter,0.85,1.0
.5,.5,.42,scatter,0.87,1.0
.5,.5,.42,scatter,0.89,0.98
.5,.5,.42,scatter,0.9,1.0
.5,.5,.42,scatter,0.91,0.96
.5,.5,.42,scatter,0.93,0.9347826086956522
.5,.5,.42,scatter,0.95,0.9888888888888889
.5,.5,.42,scatter,0.97,1.0
.5,.5,.42,scatter,0.99,1.0
.5,.5,.42,fit,0.35,0.41330233425593255
.5,.5,.42,fit,0.37,0.4309390989350804
.5,.5,.42,fit,0.39,0.4513794527397823
.5,.5,.42,fit,0.4,0.46269903042045263
.5,.5,.42,fit,0.41,0.4747648256621636
.5,.5,.42,fit,0.43,0.5011271525755028
.5,.5,.42,fit,0.45,0.530354989821218
.5,.5,.42,fit,0.47,0.5621680035961227
.5,.5,.42,fit,0.49,0.5961076391061562
.5,.5,.42,fit,0.5,0.6136856647056852
.5,.5,.42,fit,0.51,0.6315504353579148
.5,.5,.42,fit,0.53,0.6677464457962129
.5,.5,.42,fit,0.55,0.7038792605437219
.5,.5,.42,fit,0.57,0.7391381250823527
.5,.5,.42,fit,0.59,0.7727890104837485
.5,.5,.42,fit,0.6,0.7888175756881299
.5,.5,.42,fit,0.61,0.8042318129248615
.5,.5,.42,fit,0.63,0.8330349995606281
.5,.5,.42,fit,0.65,0.858945170362913
.5,.5,.42,fit,0.67,0.8818747687903088
.5,.5,.42,fit,0.69,0.9018747839763919
.5,.5,.42,fit,0.7,0.9108215572094314
.5,.5,.42,fit,0.71,0.919100241841809
.5,.5,.42,fit,0.73,0.9337751620549293
.5,.5,.42,fit,0.75,0.9461615070226743
.5,.5,.42,fit,0.77,0.9565344081686806
.5,.5,.42,fit,0.79,0.9651641836669382
.5,.5,.42,fit,0.8,0.9689055451041508
.5,.5,.42,fit,0.81,0.972304539885027
.5,.5,.42,fit,0.83,0.9781858086161948
.5,.5,.42,fit,0.85,0.9830119443227405
.5,.5,.42,fit,0.87,0.9869601162895225
.5,.5,.42,fit,0.89,0.9901819463086665
.5,.5,.42,fit,0.9,0.9915614027862587
.5,.5,.42,fit,0.91,0.9928056786845609
.5,.5,.42,fit,0.93,0.9949387815992858
.5,.5,.42,fit,0.95,0.9966706498902131
.5,.5,.42,fit,0.97,0.9980752071873724
.5,.5,.42,fit,0.99,0.9992132955744029
