alpha,beta,direction,x,y
0.2,0.2,<-,0.45,0.9860484965999999
0.2,0.2,<-,0.5,0.9678863458
0.2,0.2,<-,0.55,0.978775375
0.2,0.2,<-,0.6,0.9833301556
0.2,0.2,<-,0.65,0.9878374628000001
0.2,0.2,<-,0.7,0.9809471529000001
0.2,0.2,<-,0.75,0.9918189518000001
0.2,0.2,<-,0.8,0.9857791806
0.2,0.2,<-,0.85,0.9168908325
0.2,0.2,<-,0.9,0.9049106768
0.2,0.2,<-,0.95,0.8946562273
alpha,beta,direction,x,y
0.2,0.4,->,0.0,0.9969849569
0.2,0.4,->,0.05,0.9995536086
0.2,0.4,->,0.1,0.9999684041
0.2,0.4,->,0.15,0.9968833498
0.2,0.4,->,0.2,0.9988184973
0.2,0.4,->,0.25,0.9993401251999999
0.2,0.4,->,0.3,0.9977453679
0.2,0.4,->,0.35,0.9999833067
0.2,0.4,->,0.4,0.9997107237
0.2,0.4,->,0.45,0.9990356923
0.2,0.4,->,0.5,0.9953183199
0.2,0.4,->,0.55,0.9955246537000001
0.2,0.4,->,0.6,0.9956020671
0.2,0.4,->,0.65,0.9966822658
0.2,0.4,->,0.7,0.9532021102
0.2,0.4,->,0.75,0.9699651162
0.2,0.4,->,0.8,0.9724837967000001
0.2,0.4,->,0.85,0.9725944854
0.2,0.4,->,0.9,0.9583630254000001
0.2,0.4,->,0.95,0.9282354642
alpha,beta,direction,x,y
0.2,0.4,<-,0.0,0.9996796137
0.2,0.4,<-,0.05,0.9986714198000001
0.2,0.4,<-,0.1,0.9974339561
0.2,0.4,<-,0.15,0.9993369031
0.2,0.4,<-,0.2,0.9996735809999999
0.2,0.4,<-,0.25,0.9999898448000001
0.2,0.4,<-,0.3,0.9989687831999999
0.2,0.4,<-,0.35,0.9998989387999999
0.2,0.4,<-,0.4,0.9999564862
0.2,0.4,<-,0.45,0.9950555122
0.2,0.4,<-,0.5,0.9999691725
0.2,0.4,<-,0.55,0.9198406249
0.2,0.4,<-,0.6,0.9922811134999999
0.2,0.4,<-,0.65,0.9837249928
0.2,0.4,<-,0.7,0.9697614318000001
0.2,0.4,<-,0.75,0.9590538919
0.2,0.4,<-,0.8,0.9639982867
0.2,0.4,<-,0.85,0.9685715054
0.2,0.4,<-,0.9,0.9417100008
0.2,0.4,<-,0.95,0.8938393406
alpha,beta,direction,x,y
0.2,0.6,->,0.0,0.9987592831000001
